query_id,query_length,num_tables,num_joins,query_depth,complexity_score,has_aggregates,has_group_by,has_order_by,has_limit,has_distinct,has_window_functions,has_outer_joins,estimated_join_complexity,has_subqueries,has_correlated_subqueries,has_large_tables,all_tables_small,has_complex_expressions,has_user_functions,has_text_operations,has_numeric_heavy_ops,num_aggregate_funcs,analytical_pattern,transactional_pattern,etl_pattern,command_type,pg_time_ms,duck_time_ms,optimal_engine
Carcinogenesis_6600,177,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
Carcinogenesis_1688,78,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.26065309066325426,33.59171701595187,postgres
Carcinogenesis_6302,404,2,1,0,4,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
Carcinogenesis_1596,111,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3171799471601844,2.1451739594340324,postgres
Carcinogenesis_7729,543,3,2,0,5,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,2.1669859997928143,49.84198499005288,postgres
Carcinogenesis_6628,469,5,4,2,4,1,1,0,0,0,0,1,8,0,0,0,0,0,0,0,1,1,1,0,0,0,-1,-1,unknown
Carcinogenesis_1080,314,1,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
Carcinogenesis_2015,360,1,0,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,8.660941966809332,14.54826002009213,postgres
Carcinogenesis_1226,279,2,1,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4160379758104682,5.1585560431703925,postgres
Carcinogenesis_3316,397,3,2,0,3,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4702709848061204,10.83147490862757,postgres
Carcinogenesis_4552,442,1,0,2,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,-1,-1,unknown
Carcinogenesis_4764,621,5,4,4,6,1,1,1,0,0,0,1,8,0,0,0,0,0,0,1,1,2,0,0,0,0,11.713005951605737,17.29324203915894,postgres
Carcinogenesis_3998,267,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
Carcinogenesis_1682,179,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
Carcinogenesis_1300,494,3,2,0,4,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6169030675664544,9.447598014958203,postgres
Carcinogenesis_8103,165,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
Carcinogenesis_8713,315,2,1,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0.3344209399074316,6.627918919548392,postgres
Carcinogenesis_4465,316,2,1,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0.35480898804962635,6.081445957534015,postgres
Carcinogenesis_8313,455,3,2,0,4,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6489449879154563,44.30574201978743,postgres
Carcinogenesis_1208,440,3,2,0,4,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4514360334724188,59.158264892175794,postgres
Carcinogenesis_2900,276,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
Carcinogenesis_9954,119,2,1,4,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,0,0,429.20990800485015,40.802118950523436,duckdb
Carcinogenesis_6784,447,5,4,2,4,1,0,1,0,0,0,1,8,0,0,0,0,0,0,0,1,2,0,0,0,0,-1,-1,unknown
Carcinogenesis_3181,297,5,4,1,2,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,-1,unknown
Carcinogenesis_7450,231,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.26160001289099455,16.1638839635998,postgres
Carcinogenesis_6879,648,5,4,5,6,1,1,1,0,0,0,1,8,0,0,0,0,0,0,1,1,3,1,0,0,0,7.260326994583011,31.205827021040022,postgres
Carcinogenesis_6839,376,5,4,3,3,1,0,0,1,0,0,1,8,0,0,0,0,0,0,0,1,3,0,1,0,0,-1,-1,unknown
Carcinogenesis_4067,135,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2710820408537984,3.222679952159524,postgres
Carcinogenesis_6308,367,1,0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2.99440894741565,7.948732003569603,postgres
Carcinogenesis_3628,211,1,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.39948197081685066,5.0450710114091635,postgres
Carcinogenesis_612,524,3,2,0,5,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5479700630530715,6.587976939044893,postgres
Carcinogenesis_4838,93,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.24699803907424212,11.640332057140768,postgres
Carcinogenesis_8968,615,3,2,4,6,1,1,0,0,0,0,1,4,0,0,0,0,0,0,1,1,3,1,0,0,0,-1,-1,unknown
Carcinogenesis_7161,154,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
Carcinogenesis_1144,643,5,4,4,6,1,0,0,0,0,0,0,8,0,0,0,0,0,0,1,1,4,0,0,0,0,11026.222929940559,1529.9594850512221,duckdb
Carcinogenesis_5101,189,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,unknown
